Entry	Entry name	Status	Protein names	Gene names	Organism	Date of creation	Date of last modification	Gene ontology (biological process)	Gene ID	Cross-reference (PDB)
P09543	CN37_HUMAN	reviewed	2',3'-cyclic-nucleotide 3'-phosphodiesterase (CNP) (CNPase) (EC 3.1.4.37)	CNP	Homo sapiens (Human)	1989-07-01	2019-01-16	adult locomotory behavior [GO:0008344]; aging [GO:0007568]; axonogenesis [GO:0007409]; chemical synaptic transmission [GO:0007268]; cyclic nucleotide catabolic process [GO:0009214]; forebrain development [GO:0030900]; microtubule cytoskeleton organization [GO:0000226]; oligodendrocyte differentiation [GO:0048709]; regulation of mitochondrial membrane permeability [GO:0046902]; response to lipopolysaccharide [GO:0032496]; response to toxic substance [GO:0009636]; substantia nigra development [GO:0021762]	1267	1WOJ
P10746	HEM4_HUMAN	reviewed	Uroporphyrinogen-III synthase (UROIIIS) (UROS) (EC 4.2.1.75) (Hydroxymethylbilane hydrolyase [cyclizing]) (Uroporphyrinogen-III cosynthase)	UROS	Homo sapiens (Human)	1989-07-01	2019-01-16	heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]; uroporphyrinogen III biosynthetic process [GO:0006780]	7390	1JR2
P10635	CP2D6_HUMAN	reviewed	Cytochrome P450 2D6 (EC 1.14.14.1) (CYPIID6) (Cholesterol 25-hydroxylase) (Cytochrome P450-DB1) (Debrisoquine 4-hydroxylase)	CYP2D6 CYP2DL1	Homo sapiens (Human)	1989-07-01	2019-01-16	alkaloid catabolic process [GO:0009822]; alkaloid metabolic process [GO:0009820]; arachidonic acid metabolic process [GO:0019369]; coumarin metabolic process [GO:0009804]; drug catabolic process [GO:0042737]; drug metabolic process [GO:0017144]; exogenous drug catabolic process [GO:0042738]; heterocycle metabolic process [GO:0046483]; isoquinoline alkaloid metabolic process [GO:0033076]; long-chain fatty acid biosynthetic process [GO:0042759]; monoterpenoid metabolic process [GO:0016098]; negative regulation of binding [GO:0051100]; negative regulation of cellular organofluorine metabolic process [GO:0090350]; organic acid metabolic process [GO:0006082]; oxidation-reduction process [GO:0055114]; oxidative demethylation [GO:0070989]; steroid metabolic process [GO:0008202]; xenobiotic metabolic process [GO:0006805]	1565	3TBG
P11277	SPTB1_HUMAN	reviewed	Spectrin beta chain, erythrocytic (Beta-I spectrin)	SPTB SPTB1	Homo sapiens (Human)	1989-07-01	2019-01-16	actin filament capping [GO:0051693]; axon guidance [GO:0007411]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; MAPK cascade [GO:0000165]	6710	3EDU
P09486	SPRC_HUMAN	reviewed	SPARC (Basement-membrane protein 40) (BM-40) (Osteonectin) (ON) (Secreted protein acidic and rich in cysteine)	SPARC ON	Homo sapiens (Human)	1989-07-01	2019-01-16	bone development [GO:0060348]; cellular response to growth factor stimulus [GO:0071363]; extracellular matrix organization [GO:0030198]; heart development [GO:0007507]; inner ear development [GO:0048839]; lung development [GO:0030324]; negative regulation of angiogenesis [GO:0016525]; negative regulation of endothelial cell proliferation [GO:0001937]; ossification [GO:0001503]; pigmentation [GO:0043473]; platelet degranulation [GO:0002576]; positive regulation of endothelial cell migration [GO:0010595]; receptor-mediated endocytosis [GO:0006898]; regulation of cell morphogenesis [GO:0022604]; regulation of synapse organization [GO:0050807]; response to cadmium ion [GO:0046686]; response to calcium ion [GO:0051592]; response to cAMP [GO:0051591]; response to cytokine [GO:0034097]; response to ethanol [GO:0045471]; response to glucocorticoid [GO:0051384]; response to gravity [GO:0009629]; response to L-ascorbic acid [GO:0033591]; response to lead ion [GO:0010288]; response to lipopolysaccharide [GO:0032496]; response to peptide hormone [GO:0043434]; wound healing [GO:0042060]	6678	1SRA
P09234	RU1C_HUMAN	reviewed	U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)	SNRPC	Homo sapiens (Human)	1989-07-01	2019-01-16	mRNA 5'-splice site recognition [GO:0000395]; mRNA splicing, via spliceosome [GO:0000398]; spliceosomal snRNP assembly [GO:0000387]	6631	2VRD
P08754	GNAI3_HUMAN	reviewed	Guanine nucleotide-binding protein G(k) subunit alpha (G(i) alpha-3)	GNAI3	Homo sapiens (Human)	1988-11-01	2019-01-16	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; brain development [GO:0007420]; cell cycle [GO:0007049]; cell division [GO:0051301]; dopamine receptor signaling pathway [GO:0007212]; G protein-coupled receptor signaling pathway [GO:0007186]; GTP metabolic process [GO:0046039]; negative regulation of adenylate cyclase activity [GO:0007194]; negative regulation of apoptotic signaling pathway [GO:2001234]; positive regulation of macroautophagy [GO:0016239]; positive regulation of NAD(P)H oxidase activity [GO:0033864]; positive regulation of superoxide anion generation [GO:0032930]; positive regulation of vascular smooth muscle cell proliferation [GO:1904707]; protein folding [GO:0006457]; vesicle fusion [GO:0006906]	2773	2ODE
P09086	PO2F2_HUMAN	reviewed	POU domain, class 2, transcription factor 2 (Lymphoid-restricted immunoglobulin octamer-binding protein NF-A2) (Octamer-binding protein 2) (Oct-2) (Octamer-binding transcription factor 2) (OTF-2)	POU2F2 OCT2 OTF2	Homo sapiens (Human)	1988-11-01	2019-01-16	cell maturation [GO:0048469]; humoral immune response [GO:0006959]; immunoglobulin secretion involved in immune response [GO:0002380]; mature B cell differentiation [GO:0002335]; snRNA transcription by RNA polymerase II [GO:0042795]; transcription by RNA polymerase II [GO:0006366]	5452	1HDP
P05937	CALB1_HUMAN	reviewed	Calbindin (Calbindin D28) (D-28K) (Vitamin D-dependent calcium-binding protein, avian-type)	CALB1 CAB27	Homo sapiens (Human)	1988-11-01	2019-01-16	cellular protein metabolic process [GO:0044267]; cellular response to organic substance [GO:0071310]; locomotory behavior [GO:0007626]; long-term memory [GO:0007616]; metanephric collecting duct development [GO:0072205]; metanephric connecting tubule development [GO:0072286]; metanephric distal convoluted tubule development [GO:0072221]; metanephric part of ureteric bud development [GO:0035502]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of long-term synaptic potentiation [GO:1900271]; regulation of presynaptic cytosolic calcium ion concentration [GO:0099509]; retina layer formation [GO:0010842]; short-term memory [GO:0007614]	793	6FIE
P05362	ICAM1_HUMAN	reviewed	Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54)	ICAM1	Homo sapiens (Human)	1988-11-01	2019-01-16	acute inflammatory response to antigenic stimulus [GO:0002438]; adhesion of symbiont to host [GO:0044406]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell aging [GO:0007569]; cellular response to alkaloid [GO:0071312]; cellular response to amyloid-beta [GO:1904646]; cellular response to dexamethasone stimulus [GO:0071549]; cellular response to glucose stimulus [GO:0071333]; cellular response to hypoxia [GO:0071456]; cellular response to interleukin-1 [GO:0071347]; cellular response to interleukin-6 [GO:0071354]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to nutrient levels [GO:0031669]; cellular response to tumor necrosis factor [GO:0071356]; cytokine-mediated signaling pathway [GO:0019221]; establishment of endothelial barrier [GO:0061028]; establishment of endothelial intestinal barrier [GO:0090557]; establishment of Sertoli cell barrier [GO:0097368]; extracellular matrix organization [GO:0030198]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; interferon-gamma-mediated signaling pathway [GO:0060333]; leukocyte cell-cell adhesion [GO:0007159]; leukocyte migration [GO:0050900]; membrane to membrane docking [GO:0022614]; negative regulation of calcium ion transport [GO:0051926]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; ovarian follicle development [GO:0001541]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of cellular extravasation [GO:0002693]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]; positive regulation of leukocyte adhesion to vascular endothelial cell [GO:1904996]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of vasoconstriction [GO:0045907]; receptor-mediated virion attachment to host cell [GO:0046813]; regulation of cell shape [GO:0008360]; regulation of immune response [GO:0050776]; regulation of leukocyte mediated cytotoxicity [GO:0001910]; regulation of ruffle assembly [GO:1900027]; response to amino acid [GO:0043200]; response to amphetamine [GO:0001975]; response to copper ion [GO:0046688]; response to ethanol [GO:0045471]; response to gonadotropin [GO:0034698]; response to insulin [GO:0032868]; response to ionizing radiation [GO:0010212]; response to sulfur dioxide [GO:0010477]; sensory perception of sound [GO:0007605]; T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell [GO:0002291]; T cell antigen processing and presentation [GO:0002457]; T cell extravasation [GO:0072683]	3383	1IAM
P08922	ROS1_HUMAN	reviewed	Proto-oncogene tyrosine-protein kinase ROS (EC 2.7.10.1) (Proto-oncogene c-Ros) (Proto-oncogene c-Ros-1) (Receptor tyrosine kinase c-ros oncogene 1) (c-Ros receptor tyrosine kinase)	ROS1 MCF3 ROS	Homo sapiens (Human)	1988-11-01	2019-01-16	cell differentiation [GO:0030154]; cell proliferation [GO:0008283]; columnar/cuboidal epithelial cell development [GO:0002066]; negative regulation of gene expression [GO:0010629]; peptidyl-tyrosine autophosphorylation [GO:0038083]; protein phosphorylation [GO:0006468]; regulation of cell growth [GO:0001558]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of phosphate transport [GO:0010966]; regulation of TOR signaling [GO:0032006]; signal transduction by protein phosphorylation [GO:0023014]; spermatogenesis [GO:0007283]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	6098	3ZBF
P08865	RSSA_HUMAN	reviewed	40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2)	RPSA LAMBR LAMR1	Homo sapiens (Human)	1988-11-01	2019-01-16	cell adhesion [GO:0007155]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000461]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal small subunit assembly [GO:0000028]; rRNA export from nucleus [GO:0006407]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]	3921	3BCH
P08887	IL6RA_HUMAN	reviewed	Interleukin-6 receptor subunit alpha (IL-6 receptor subunit alpha) (IL-6R subunit alpha) (IL-6R-alpha) (IL-6RA) (IL-6R 1) (Membrane glycoprotein 80) (gp80) (CD antigen CD126)	IL6R	Homo sapiens (Human)	1988-11-01	2019-01-16	acute-phase response [GO:0006953]; ciliary neurotrophic factor-mediated signaling pathway [GO:0070120]; cytokine-mediated signaling pathway [GO:0019221]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; endocrine pancreas development [GO:0031018]; extrinsic apoptotic signaling pathway [GO:0097191]; hepatic immune response [GO:0002384]; interleukin-6-mediated signaling pathway [GO:0070102]; monocyte chemotaxis [GO:0002548]; negative regulation of collagen biosynthetic process [GO:0032966]; negative regulation of interleukin-8 production [GO:0032717]; neutrophil mediated immunity [GO:0002446]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of activation of Janus kinase activity [GO:0010536]; positive regulation of cell proliferation [GO:0008284]; positive regulation of chemokine production [GO:0032722]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of leukocyte chemotaxis [GO:0002690]; positive regulation of lymphocyte proliferation [GO:0050671]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of natural killer cell activation [GO:0032816]; positive regulation of NK T cell activation [GO:0051135]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of T-helper 1 type immune response [GO:0002827]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; response to cytokine [GO:0034097]	3570	2ARW
P08118	MSMB_HUMAN	reviewed	Beta-microseminoprotein (Immunoglobulin-binding factor) (IGBF) (PN44) (Prostate secreted seminal plasma protein) (Prostate secretory protein of 94 amino acids) (PSP-94) (PSP94) (Seminal plasma beta-inhibin)	MSMB PRSP	Homo sapiens (Human)	1988-08-01	2019-01-16		4477	2IZ3
P07947	YES_HUMAN	reviewed	Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes)	YES1 YES	Homo sapiens (Human)	1988-08-01	2019-01-16	cell differentiation [GO:0030154]; cellular protein modification process [GO:0006464]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; cellular response to retinoic acid [GO:0071300]; cellular response to transforming growth factor beta stimulus [GO:0071560]; ephrin receptor signaling pathway [GO:0048013]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; leukocyte migration [GO:0050900]; peptidyl-tyrosine autophosphorylation [GO:0038083]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of glucose transmembrane transport [GO:0010827]; regulation of vascular permeability [GO:0043114]; T cell costimulation [GO:0031295]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	7525	2HDA
P08397	HEM3_HUMAN	reviewed	Porphobilinogen deaminase (PBG-D) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	HMBS PBGD UPS	Homo sapiens (Human)	1988-08-01	2019-01-16	heme biosynthetic process [GO:0006783]; peptidyl-pyrromethane cofactor linkage [GO:0018160]; protoporphyrinogen IX biosynthetic process [GO:0006782]	3145	3ECR
P08572	CO4A2_HUMAN	reviewed	Collagen alpha-2(IV) chain [Cleaved into: Canstatin]	COL4A2	Homo sapiens (Human)	1988-08-01	2019-01-16	aging [GO:0007568]; angiogenesis [GO:0001525]; cellular response to transforming growth factor beta stimulus [GO:0071560]; collagen-activated tyrosine kinase receptor signaling pathway [GO:0038063]; endodermal cell differentiation [GO:0035987]; extracellular matrix organization [GO:0030198]; negative regulation of angiogenesis [GO:0016525]; response to activity [GO:0014823]; transcription, DNA-templated [GO:0006351]	1284	1LI1
